Ticker,Name,Asset,Weight,Notional Value,Industry
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.73,"364,275,244.56",Information Technology
IEX,IDEX CORP,Equity,0.68,"340,893,062.44",Industrials
STE,STERIS,Equity,0.61,"305,296,193.60",Health Care
DPZ,DOMINOS PIZZA INC,Equity,0.6,"302,563,090.28",Consumer Discretionary
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.6,"302,206,307.20",Information Technology
TRMB,TRIMBLE INC,Equity,0.6,"300,198,926.04",Information Technology
PTC,PTC INC,Equity,0.6,"300,014,858.50",Information Technology
NVR,NVR INC,Equity,0.59,"296,594,782.40",Consumer Discretionary
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.58,"290,154,052.11",Industrials
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.58,"289,345,750.56",Financials
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.57,"286,004,638.92",Financials
LII,LENNOX INTERNATIONAL INC,Equity,0.56,"281,733,179.06",Industrials
CPT,CAMDEN PROPERTY TRUST REIT,Equity,0.56,"278,760,912.72",Real Estate
CGNX,COGNEX CORP,Equity,0.55,"275,979,664.62",Information Technology
LDOS,LEIDOS HOLDINGS INC,Equity,0.55,"274,789,983.00",Information Technology
RGA,REINSURANCE GROUP OF AMERICA INC,Equity,0.54,"269,569,308.50",Financials
Y,ALLEGHANY CORP,Equity,0.53,"267,126,400.38",Financials
UGI,UGI CORP,Equity,0.53,"264,898,017.02",Utilities
TDY,TELEDYNE TECHNOLOGIES INC,Equity,0.53,"264,644,737.41",Industrials
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.52,"259,156,472.53",Communication
GGG,GRACO INC,Equity,0.5,"251,713,467.46",Industrials
WEX,WEX INC,Equity,0.5,"251,524,976.50",Information Technology
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,0.49,"243,751,136.37",Health Care
TYL,TYLER TECHNOLOGIES INC,Equity,0.48,"242,893,649.90",Information Technology
WRB,WR BERKLEY CORP,Equity,0.48,"241,859,010.25",Financials
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.48,"240,401,475.18",Real Estate
OGE,OGE ENERGY CORP,Equity,0.48,"239,712,075.05",Utilities
FICO,FAIR ISAAC CORP,Equity,0.47,"238,146,786.50",Information Technology
RPM,RPM INTERNATIONAL INC,Equity,0.47,"234,750,375.87",Materials
TER,TERADYNE INC,Equity,0.45,"226,237,727.99",Information Technology
STLD,STEEL DYNAMICS INC,Equity,0.45,"225,558,399.04",Materials
TTC,TORO,Equity,0.45,"223,887,482.28",Industrials
FIVE,FIVE BELOW INC,Equity,0.44,"221,812,986.46",Consumer Discretionary
MOH,MOLINA HEALTHCARE INC,Equity,0.44,"220,060,510.05",Health Care
KRC,KILROY REALTY REIT CORP,Equity,0.44,"219,766,513.80",Real Estate
SCI,SERVICE,Equity,0.43,"217,820,522.93",Consumer Discretionary
EWBC,EAST WEST BANCORP INC,Equity,0.43,"217,466,057.64",Financials
CDK,CDK GLOBAL INC,Equity,0.43,"217,376,961.37",Information Technology
SBNY,SIGNATURE BANK,Equity,0.43,"216,711,349.50",Financials
SEIC,SEI INVESTMENTS,Equity,0.43,"216,037,669.68",Financials
NDSN,NORDSON CORP,Equity,0.43,"215,914,186.15",Industrials
POST,POST HOLDINGS INC,Equity,0.43,"213,812,580.80",Consumer Staples
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.42,"212,998,640.80",Real Estate
TECH,BIO TECHNE CORP,Equity,0.42,"212,918,307.33",Health Care
OLED,UNIVERSAL DISPLAY CORP,Equity,0.42,"211,580,357.60",Information Technology
CSL,CARLISLE COMPANIES INC,Equity,0.42,"210,651,745.26",Industrials
ARW,ARROW ELECTRONICS INC,Equity,0.41,"208,102,248.24",Information Technology
