ACT Symbol,Company Name,Security Type,Weight,Value,Industry
MSFT,MICROSOFT CORP,Equity,3.64,"5,839,707,806.91",Information Technology
AAPL,APPLE INC,Equity,3.31,"5,309,263,642.76",Information Technology
AMZN,AMAZON COM INC,Equity,2.85,"4,562,854,958.76",Consumer Discretionary
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.67,"2,674,099,068.65",Financials
FB,FACEBOOK CLASS A INC,Equity,1.65,"2,648,710,135.08",Communication
JNJ,JOHNSON & JOHNSON,Equity,1.56,"2,495,491,306.40",Health Care
JPM,JPMORGAN CHASE & CO,Equity,1.48,"2,378,454,015.00",Financials
GOOG,ALPHABET INC CLASS C,Equity,1.45,"2,326,301,765.53",Communication
GOOGL,ALPHABET INC CLASS A,Equity,1.42,"2,273,501,508.96",Communication
XOM,EXXON MOBIL CORP,Equity,1.41,"2,261,540,499.66",Energy
BAC,BANK OF AMERICA CORP,Equity,1.13,"1,807,991,188.96",Financials
UNH,UNITEDHEALTH GROUP INC,Equity,1.09,"1,749,876,340.95",Health Care
V,VISA INC CLASS A,Equity,1.09,"1,745,505,801.38",Information Technology
PG,PROCTER & GAMBLE,Equity,1.06,"1,701,301,046.00",Consumer Staples
PFE,PFIZER INC,Equity,1.06,"1,691,077,697.76",Health Care
INTC,INTEL CORP,Equity,1.02,"1,631,296,135.23",Information Technology
VZ,VERIZON COMMUNICATIONS INC,Equity,1,"1,602,044,876.76",Communication
CVX,CHEVRON CORP,Equity,0.97,"1,553,906,695.76",Energy
T,AT&T INC,Equity,0.96,"1,543,745,343.70",Communication
CSCO,CISCO SYSTEMS INC,Equity,0.96,"1,534,103,368.65",Information Technology
BA,BOEING,Equity,0.95,"1,524,917,724.00",Industrials
HD,HOME DEPOT INC,Equity,0.92,"1,480,288,677.12",Consumer Discretionary
MRK,MERCK & CO INC,Equity,0.89,"1,430,704,614.09",Health Care
WFC,WELLS FARGO,Equity,0.88,"1,414,662,101.52",Financials
MA,MASTERCARD INC CLASS A,Equity,0.86,"1,381,638,632.52",Information Technology
CMCSA,COMCAST CORP CLASS A,Equity,0.75,"1,194,024,829.14",Communication
KO,COCA-COLA,Equity,0.74,"1,181,547,775.84",Consumer Staples
DIS,WALT DISNEY,Equity,0.73,"1,168,647,792.75",Communication
